R,Rc,r1,r1c,r2,r2c,c1,c1c,c2,c2c,t,T,p,y,class,m,am,l,s
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,Cl[Au+][P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,12,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,27,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,ClCCCl,0.6,O,1.5,Cl[Au+][P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,12,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,11,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,ClCCl,0.6,O,1.5,Cl[Au+][P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,12,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,0.1,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCC1,0.6,O,1.5,Cl[Au+][P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,12,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,0.1,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,CC(C)C(C=CC=C1C(C)C)=C1N2C=CN(C3=C(C(C)C)C=CC=C3C(C)C)[C]2[Au+]Cl,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,12,80,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,17,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,[Au+]Cl,2,[Ag+]OS(=O)(C(F)(F)F)=O,2,6,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,22,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,Cl[Au+3](Cl)(Cl)Cl.[Na+],2,,2,6,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,0.1,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,Cl[Au+3](Cl)Cl,2,,2,6,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,5,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,CC(C)C(C=CC=C1C(C)C)=C1N2C=CN(C3=C(C(C)C)C=CC=C3C(C)C)[C]2[Au+]Cl,2,F[Sb-](F)(F)(F)(F)F.[Ag+],2,2,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,46,s,0,0,0,1
CC(OCC#CC1=CC([N+]([O-])=O)=CC=C1)=O,0.1,C1COCCO1,0.6,O,1.5,Cl[Au+][P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,2,F[Sb-](F)(F)(F)(F)F.[Ag+],2,2,25,CC(OCC(CC1=CC([N+]([O-])=O)=CC=C1)=O)=O,86,s,0,0,0,1
